timestamp,ecg,pnum,condition
1671245536.05,619,4,stress
1671245536.669,619,4,stress
1671245537.288,621,4,stress
1671245537.909,613,4,stress
1671245538.522,615,4,stress
1671245539.137,626,4,stress
1671245539.763,645,4,stress
1671245540.408,673,4,stress
1671245541.081,644,4,stress
1671245541.725,620,4,stress
1671245542.345,606,4,stress
1671245542.951,615,4,stress
1671245543.566,630,4,stress
1671245544.196,640,4,stress
1671245544.836,637,4,stress
1671245545.473,659,4,stress
1671245546.132,623,4,stress
1671245546.755,617,4,stress
1671245547.372,625,4,stress
1671245547.997,624,4,stress
1671245548.621,621,4,stress
1671245549.242,654,4,stress
1671245549.896,624,4,stress
1671245550.52,646,4,stress
1671245551.166,616,4,stress
1671245551.782,628,4,stress
1671245552.41,644,4,stress
1671245553.054,623,4,stress
1671245553.677,645,4,stress
1671245554.322,634,4,stress
1671245554.956,628,4,stress
1671245555.584,606,4,stress
1671245556.19,592,4,stress
1671245556.782,581,4,stress
1671245557.363,587,4,stress
1671245557.95,600,4,stress
1671245558.55,617,4,stress
1671245559.167,627,4,stress
1671245559.794,640,4,stress
1671245560.434,648,4,stress
1671245561.082,653,4,stress
1671245561.735,659,4,stress
1671245562.394,660,4,stress
1671245563.054,661,4,stress
1671245563.715,651,4,stress
1671245564.366,638,4,stress
1671245565.004,657,4,stress
1671245565.661,631,4,stress
1671245566.292,627,4,stress
1671245566.919,617,4,stress
1671245567.536,617,4,stress
1671245568.153,607,4,stress
1671245568.76,591,4,stress
1671245569.351,594,4,stress
1671245569.945,605,4,stress
1671245570.55,616,4,stress
1671245571.166,620,4,stress
1671245571.786,595,4,stress
1671245572.381,592,4,stress
1671245572.973,593,4,stress
1671245573.566,607,4,stress
1671245574.173,626,4,stress
1671245574.799,664,4,stress
1671245575.463,672,4,stress
1671245576.135,665,4,stress
1671245576.8,629,4,stress
1671245577.429,628,4,stress
1671245578.057,626,4,stress
1671245578.683,634,4,stress
1671245579.317,644,4,stress
1671245579.961,681,4,stress
1671245580.642,664,4,stress
1671245581.306,666,4,stress
1671245581.972,645,4,stress
1671245582.617,642,4,stress
1671245583.259,657,4,stress
1671245583.916,650,4,stress
1671245584.566,663,4,stress
1671245585.229,669,4,stress
1671245585.898,645,4,stress
1671245586.543,651,4,stress
1671245587.194,651,4,stress
1671245587.845,657,4,stress
1671245588.502,689,4,stress
1671245589.191,662,4,stress
1671245589.853,663,4,stress
1671245590.516,639,4,stress
1671245591.155,643,4,stress
1671245591.798,646,4,stress
1671245592.444,648,4,stress
1671245593.092,662,4,stress
1671245593.754,688,4,stress
1671245594.442,641,4,stress
1671245595.083,645,4,stress
1671245595.728,662,4,stress
1671245596.39,664,4,stress
1671245597.054,693,4,stress
1671245597.747,652,4,stress
1671245598.399,685,4,stress
1671245599.084,706,4,stress
1671245599.79,662,4,stress
1671245600.452,665,4,stress
1671245601.117,651,4,stress
1671245601.768,644,4,stress
1671245602.412,647,4,stress
1671245603.059,651,4,stress
1671245603.71,663,4,stress
1671245604.373,692,4,stress
1671245605.065,658,4,stress
1671245605.723,699,4,stress
